Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,0.0250043809818519,9.623866150387114,-0.36349075931042063,0.9877001693962427,0.005630699510763245,,6.342824222870769,1.5114447328968101,,,-0.009429985505920186,-3.0403925843804407,0.5961294458343926,1.236997206703911,,5.215944276678444,,5.4731252435534925,,3.3294194678206432,0.22763809124267878,,0.8728964534312779,3.652004017288296,89.23301601830663,0.36842561983471084,1.7919237632545295,1.024708102510013,2.0372084967479847,,5.620718029582268,0.9915818587501676,,5.0060974213394065,0.7033429201547763,1.6483209896476714,,4.98698169293887,1.3577445242337458,3.7185166551414683,6.133493496262532,0.6384275144236747,3.199726100236343,3.4655169802875667,2.5069825695493577,3.49602747137557,2.594761749805039,3.379962079830549,0.11210833384056126
2001,0.015653034257293606,24.009075700134126,0.4565881837378074,0.5588845238802108,0.018728542380797703,-0.0013048564735641038,1.6001311262863236,-0.10652670822566043,,,0.012099719271182122,-4.84426109284502,0.5927420068298033,0.5273847226094228,,1.9014921112843393,,-2.0029889471711093,,1.680567013477555,0.04064934624815987,0.09588055565323847,0.04083335828715732,3.5963419554917775,-32.23267770419426,-0.3898910465116276,1.7111719861957537,0.7726150578342164,6.025897047258094,,-0.5918950111994521,6.444129283654548,,10.663479926284419,0.9224208539779347,1.6186155582434054,,3.949908140379489,0.6927572729253042,9.77854727943918,0.5849476989115335,5.368345297851622,3.6522447598854932,4.049474753036322,3.468722085767764,2.0462169750189134,2.5938883709776106,3.541386707803075,0.06049531170924974
2002,0.1602344663301861,11.406191907741817,-0.46242341521664215,7.501518584376828,0.04737118086807883,,2.3785448771566426,4.068984584690252,0.00012950921145551535,,0.25195420410505587,6.594565067260852,0.5806493372982472,0.7597532330430196,,6.489589609838037,,0.02175464245494276,,0.9556942779665181,0.011420610944984023,0.7595229987465946,0.21006236488745042,3.6597174485945216,43.466790722761594,0.7079424880824245,0.2739651608816078,0.11597441429058557,-0.3165486747206809,0.020539571952456655,0.6536870208057757,1.0203575781139318,-0.006721819840840291,4.405144143766622,0.28134073647761915,1.9715841352678742,,4.226787142741978,1.1802444077939729,6.429794918047491,0.5384768152955144,1.1463572691169521,3.9321549957030646,2.7995532863808905,2.3984038909567325,3.4150722057727303,2.98852729237692,7.114941361950916,0.05045634293309407
2003,0.038540769411263956,20.08101443911581,0.1988703493034219,5.5652812748483065,0.040466859847685686,,4.8221341518134455,2.0969438306412935,,0.1450475715227592,0.262169333589549,6.28014568176251,2.2867398037456153,0.29568383233532947,,-2.738929854747275,,1.5305226203408555,3.7518006070996353,1.7916409392104018,1.571410157604877,0.7235181728934907,0.5484125320718244,3.7957483627024122,23.12555080213904,0.5444378346222487,0.20202572370593336,1.4108908514822434,1.538330293587959,-0.04875319536807398,1.0624597935284037,3.9856198475430564,,1.3216621993902193,0.5459244666531038,1.9146205699219079,,3.3305327757187095,0.9864582852235648,7.781282048368371,0.40208045770255596,0.3974927444325433,6.31782319761386,2.0931634352665127,1.5319229148770475,1.9650464763512758,3.0603319991015674,7.078931442532365,0.0034918689561640893
2004,0.26704382565159196,9.329239295777327,-0.6586885960396812,4.363836573701256,-0.16412933237604518,0.004882857144157415,7.312720061602998,0.3611180407935543,,0.10613127555147144,0.0734696978518626,1.9016206520962051,5.786694825765576,1.5908361838038332,,2.511910909329488,,4.040694241793939,5.772562827420282,1.5681054699015164,,0.3290505993259756,0.28619426350520794,3.6838327561125532,8.400416014441795,1.077823451543231,1.0446898563867024,2.1311960075187564,1.558288218486406,0.16965072017192578,0.20839753616295476,1.3511864771780433,,3.3825744180541397,0.6491597429625076,1.3803738749088188,,3.0554461652683615,1.3653466315961584,4.256924074051152,2.7332910748993475,0.2741997905699486,5.670905910147175,2.6542187378957682,2.5055973899983606,1.89888949723214,3.7208507227084713,5.851688640100434,1.722475326574432e-05
2005,1.0799033303114367,-3.526657178567521,-0.13382036948974232,4.24294905100869,0.8481458746540191,0.05234042132176128,8.281227110968112,1.2486083129521415,,0.0854737216678343,1.5044526198553276,12.04984558460175,3.1332629288782625,5.9995090064995376,,-1.4426910531468713,2.137800937295589,3.4036233959691784,5.220416881207018,1.349239865701291,2.451856835450982,1.3586735884018735,0.11320206893460125,1.630955817827911,8.725196147319389,2.192894836272039,1.45800803699285,2.6256700477180326,2.5655309354627844,0.0689028115228533,0.6352844712396746,2.426354676478384,1.380320098608,5.378457918073973,1.1350675431792259,2.8362940537432237,,11.47960715292211,1.5255129477618503,8.255423880196187,3.564709455530366,2.2578187450544545,4.438799366655306,5.085626968357726,2.979710359309758,2.2084491949759646,4.110826110762762,4.284032189095238,0.01911309936768307
2006,1.495723352075265,-0.07200099634967298,-0.1757646675001623,4.9088146939669,1.2806457867602243,0.00248110542789527,11.876431727778526,0.2827395550442982,,0.11145257428251962,1.7720851233302484,18.445980124535435,14.083940136850895,9.34856726566292,,3.677271255939956,3.5682352741624097,0.013361577000309705,7.798797902864532,3.04529018468517,2.9620713784132384,2.8178376741393745,0.19621963206475235,1.351168666584881,9.63866591009303,3.434605859527911,4.607492002806282,0.6112082191924043,2.1478243062407825,0.0014542384507802548,1.518863773058537,3.242834977394556,2.6408621818393296,7.625776144091341,0.847497530197072,2.0357526731987408,,26.626378388501088,2.477708377434018,12.997071189638035,2.0209208530705296,0.20512553857400823,4.069107160371466,2.164565124502468,2.75216144371014,9.424733697291282,6.457058020260413,4.827128722374576,0.00018369195667110864
2007,1.1838181536619046,-1.368762395230038,1.7038697347889546,4.680813450123413,0.2847179390808655,0.03688580733026202,11.624747338853396,0.7922906656117138,,0.966721983950354,10.802367462094368,16.216555026587027,23.03889364469486,8.876336063372749,,1.0807070118900963,1.126470925196859,5.257222354651185,6.1025736509972335,5.571188769521402,6.14302807034144,2.4921720187246055,2.2812431737348393,4.495417243230261,9.58759370688019,6.892245659272538,9.260115309639579,1.9281444074722123,2.529738383700777,-0.02938190533930455,4.181074519735642,3.2499933231542886,3.8541464553142,7.570339295217295,1.7285864141129106,2.169195369823932,0.3180438494449722,24.156401012097053,2.511456674972905,16.32991805613183,2.869683716584073,1.9775577221934921,2.5309157146755346,2.6601108883496893,1.6597708640272903,3.8939515986021807,6.656597250381144,9.418111672777338,0.058579539516066106
2008,1.4627734457178643,1.896313896748639,0.49256299017794664,4.85440497340623,0.35116972348799486,0.23781629691625167,10.762475352089078,0.07575466768194682,,0.5078936163522925,8.72627354050459,16.721001816587737,22.785843817933966,5.831412618648793,,3.209674209091081,0.4009971341326923,4.4537651695472835,4.532839042404581,9.46643908231485,5.483488377989048,0.6959483472755013,0.26629132730095534,0.6231227675767859,16.427350950638182,4.741395010744986,10.577930760914157,2.5237027903488984,2.7190508782585265,0.05733287253618022,3.7808934195071613,2.4221350885278725,4.964260753945261,8.718353720518495,3.8790314366318523,2.4137391825401076,,42.09280841015215,2.7040473979607893,18.357076611275225,1.3842688434984993,3.126866143104527,2.549809807622969,4.949437669236686,1.1114663235314197,5.797386196007544,5.047371901641707,5.24050811284723,0.18117161327071196
2009,1.827421646682616,3.136660683071664,-0.19312176460627625,2.062560051963847,0.5994689396110067,0.019557300477257216,6.802418630901412,2.671669501987004,,1.528661082145257,-1.3041352499131345,12.228886249969655,9.232551528836337,3.548351180195742,,1.8351397806582779,0.6827293669344303,5.247570979490209,2.7202391127117656,9.108086691004138,1.3552372021908838,2.1220942042455784,0.274534230856511,5.247206693138019,7.228700482061765,2.2546167088222338,13.448542788128147,0.5452939205884332,6.3449384429881,,2.811755101404625,1.947827443308474,7.584054035896144,9.274735945498861,8.62089060209857,2.900248731759833,,7.724198664868556,2.0529953584360165,19.77333899656272,2.9182177858422307,2.31217470344994,3.3441756822644004,3.2401748838777693,0.9806346039357228,3.50988118042442,3.349161551394301,4.532779776327249,1.0863050423393596
