Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Libya,Madagascar,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Rwanda,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2010,34.988229614912,61.5431158851524,23.0720480670551,42.1443315144427,20.5158488554008,9.70000163931346,30.2838226775205,22.368890297982,11.6258010719319,36.8456059033671,9.63890463485355,41.111154153914,68.5280915300939,,21.3492458146859,85.7584331985967,,57.6634923763037,14.6678148782972,29.4767179831573,30.341207018784,12.6394156999785,20.1243596478793,42.1262589311215,66.2720071713114,21.8743805186609,22.8371701772321,45.7393481127116,51.2376727919807,29.7889486802284,29.3682327373567,48.2819544785637,16.1844145982019,10.7427647311274,19.9812388274952,91.3669510520251,10.7355697776633,25.7834176267221,17.4756063457453,19.6075287366869,26.962985729022,47.9597286942428,13.8244828747602,37.0259333072124,29.6408952151362
2011,35.9880864093259,60.6699475151848,20.8496515031216,44.2363979167201,26.1955005196271,8.80000028373483,32.8742610267506,24.229686622931,13.127820098599,38.8772569320241,9.95641544707353,39.5156166665655,73.6117327393895,,20.5674276128656,75.0953126579793,16.6868531997337,61.7443721274506,16.8594044684804,36.9366085502594,32.6022412863238,19.2980958159564,21.5494770708279,47.7228451203639,38.1458963988027,22.7196386760737,22.7261779161711,50.1828096997874,52.4441473837658,31.9544842646976,31.3789002672832,45.5397819208328,15.2895554371407,12.6588705752209,21.303548885652,97.960756878163,10.4348560925917,27.6981484703752,12.4787060282521,21.6342823266739,30.6285268529022,46.0546537716688,12.8557239406741,40.4712226732921,34.8008015617561
2012,34.3827920015035,55.9401306344811,23.8967368670133,48.11502383229,26.5980854179657,9.69609531952923,37.4634532272165,23.8767238437792,11.5501330018626,38.4680542162362,8.94586923883759,30.8030090175031,58.0820278199554,,16.3969666208873,71.9049918240751,13.7672981990263,60.9503414381301,19.8416822348377,40.3592181740371,33.137394501583,14.1167775647259,19.8649477228834,41.7959336745045,66.8678568492024,21.7806921029485,27.8563400059191,48.2613552096143,53.7921652730405,32.0970961451136,30.0174391521977,40.058338011922,16.1005770719535,11.9942781520571,22.4743744215738,103.047226902883,21.1046196332047,27.1391491937679,6.85645263673087,22.372111684507,32.081966197719,45.9128477724564,15.4917287700064,40.0829109943526,25.1632536958446
2013,30.7993649290893,50.7470857909554,27.570565319312,61.3797617461963,27.0769854530325,9.09525606883305,37.5168385673901,23.6391086680292,14.9729547921906,33.565591667753,9.04838721379907,36.4458613110467,52.9343405840282,156.538300905396,17.0178456245969,67.6533166625479,12.484073558977,57.3574058813271,18.9791643659006,25.4407833967285,26.4706217253735,13.2144211714798,17.7921805531655,38.2496647077566,59.8886075843687,23.2721660778614,24.9405402595496,45.5485992122422,52.5729244775589,30.2532656391617,27.9938072708211,37.5019849152538,16.9790336020885,13.4925358045666,22.3497423099059,94.7030316815297,18.2995553161572,28.379280320361,9.50689116839014,19.0127876013666,33.1730464993132,44.889705324588,16.5130356713113,40.4827166938697,21.987758642545
2014,27.6194863705878,44.6950294609853,31.4308411236325,61.2829678934065,26.932004154154,8.6960211937924,37.2482924821867,23.6099755336855,16.6757875879937,34.1613628875217,9.67647217726497,36.8321888505236,53.1336383710482,158.374311256779,14.2441314553991,65.9632885983728,11.6416199095703,44.5208923945675,21.8368954439609,28.2319021605976,26.6885109662704,16.6941209486516,16.4728044658123,38.1496953255837,32.2383210024013,28.2819119746319,22.5554869569717,37.3892007219428,52.5246596111912,30.1329866374292,32.7890372970921,39.017085209178,15.945862927875,13.8686615802081,21.7782967413225,99.180749158294,19.6631585092203,29.0006193033471,7.60891112283276,18.0692092760813,28.3375647623348,42.947465118132,14.9482109075764,38.8222899319378,20.9301459192706
2015,20.5281416810455,29.7545979506807,24.7204512110389,53.0908973428197,26.1076455357024,6.41727356534236,41.1354523359312,20.9891496295315,17.0676606236635,30.0017608897127,10.1361983069761,27.7255678009169,40.8570487934502,145.421307480105,13.1838454928598,56.6584738218082,9.36331359735926,46.0320085043705,15.5708485829147,33.8317048233696,21.4968719824351,25.0467119622253,15.1287339034504,42.8918037123102,22.2273741215145,28.3906461296836,24.0437085118274,30.1951447553349,51.4978524051162,29.9958538899695,32.5722935328402,35.3708484097637,14.2683699619368,13.2317868359616,22.6771945016724,90.0846282601248,12.2804889386198,27.7136384124829,6.42291092918573,17.1049115530965,25.9760750558981,38.3998387567342,12.8773253147369,37.1385258014734,19.1601757893503
2016,18.4866879717888,28.1244854472006,27.6067880711982,54.6113547604529,25.915964804251,6.38452218976084,41.4729487181747,18.9499787559649,14.8218796578137,26.2950367647059,10.6728955768962,23.9564422023011,42.068526050081,103.764025112093,10.3454639403558,51.4128299447575,7.81208050267299,44.0353472921111,12.7556347921577,31.193239148362,29.3715126043271,23.7747310385206,13.2497448006759,45.7796652454104,14.5778875500388,29.0925694335543,23.4429129749282,33.9251405488546,49.1740762253697,30.7345951424219,35.3819373953665,35.0094674181023,12.1833388939158,15.4218031562888,21.5608580962682,85.3502574058314,15.1514141432511,28.1560881698955,5.00449100738247,16.349975063904,25.9963700139807,38.2952955757822,12.4271644156806,35.3246757489657,19.9435315500903
2017,20.3336795171675,29.0041020030504,27.2055947818832,42.9200424885539,26.4523856350501,6.02657432870477,42.0688035837608,18.3510985830022,17.2597737600181,33.8729624845644,11.9013164484663,35.2505221787596,47.9627316588394,150.098361470494,15.0140868185672,58.8631052137026,7.62936862241418,50.2267539725926,18.4807348225843,33.8768747799681,44.6602984531211,26.5343804075435,12.7366599413725,47.4769340332662,27.1972557138798,30.9026308764808,22.4718769579376,34.5056775300947,48.1551661058958,32.6064609907781,41.043463320554,33.6208040771432,12.8065412142116,20.5283808772972,21.9300831477167,93.9095722862406,16.7433834140102,27.3400757812216,6.11214425821293,15.6634915658043,24.872603736957,41.7256877901021,16.6611294211705,34.9928577635918,6.76851678209651
2018,23.423105738908,40.8362898299819,27.2742306189085,44.2281439237392,28.0789061419219,5.6856543143069,45.865993464408,18.7362534690181,15.9400300007701,36.1906824485852,12.909022989086,32.5535282647371,62.2105922950548,156.619875027706,17.984655608418,59.6145347244398,8.37267586646371,54.2990764910062,22.2881797710858,33.4548954489265,40.2070955328741,25.3210814862182,12.541975333359,49.8331114219045,39.6135044170514,31.5360236539412,24.5226637508643,36.5862504012937,46.0962669509066,33.8284373726717,45.5310358403147,35.8825645595703,11.2957371550569,21.10801098862,22.9490914783308,87.0444044109968,11.2388259485764,27.4970371508423,7.65020198466392,14.7391433931711,24.2239524638869,45.4863677197516,15.0870530611511,37.9574045480394,26.1639731327864
2019,20.407941949491,40.7907550532833,29.6305271935478,37.0878176552067,29.2576956572794,5.17203999926172,46.7050331370949,19.8500907473186,15.7553800018083,36.7422534363826,12.7734606325226,25.8676651009614,56.1988143702835,166.717746372109,16.6440314510365,51.1307495482003,7.9399766087609,51.4310732271996,20.1658912380486,37.4495998625311,35.0420493356329,18.3682656120911,11.4279956869332,46.2093281781161,42.35532240076,28.4244012431975,25.7052911328497,42.3975240406607,44.6671405250455,34.093057468891,37.1420563608323,36.4008818615818,10.7593769160532,21.8254435390056,24.9831341973865,82.3562686214226,9.6941408328194,27.2021294051151,8.45298341762853,16.0367461484986,23.8124527104537,45.9513065456175,17.1090580167383,34.6361926031881,27.5541564071286
2020,15.5352011116191,38.314540742558,19.8724704276524,31.2902836724863,31.7768656908663,4.54932000033401,25.2933707721998,15.2357369814791,15.1724799997493,26.7161490487759,5.67175210840519,28.6049515263296,40.7190432792988,115.626523405724,12.4727757370868,40.8454498501516,7.12720094276697,47.5994828159722,9.60764388834478,31.5254204867115,46.969818134712,16.019078874473,9.64186888186451,44.44901227889,20.3637900560977,20.1420748833617,29.7477614015904,41.406104283545,39.3497952654865,30.7941069539783,32.7898734687844,33.6778689517423,9.73784560618977,19.3259418342726,20.7005528555706,66.5466895183828,9.89004474332578,27.5759141603963,5.12531269468598,13.5038738462361,23.263528583167,37.9976586185515,15.4147985397289,46.7201864691576,22.293062976533
2021,23.4443672905951,47.7452759675607,20.9188061754733,41.9108436360075,32.797073516181,5.00028999994313,23.8497983576563,16.5088840367781,13.2274599967551,38.7501272510812,10.8073216153852,40.385829565187,52.8365708586233,143.022084396506,10.5611502153652,45.1275510492817,7.63170164458893,60.9391204925529,6.61733476020691,30.0551194696231,56.2186332783709,18.051590146568,10.7695743362259,46.1460898214545,92.0546075514658,22.7742898827032,27.8671459234148,39.8560232643025,44.201734728189,33.1360849405787,40.3504985242732,31.9564108832988,9.99372066917064,19.51924382483,24.6396021156771,80.2638714731898,15.5513654294067,31.1035988061883,2.2498704277993,14.1200223265815,23.6295484465081,42.0256330676663,15.7810081695276,52.2160900183192,22.775240716702
2022,30.8089785470304,44.391642097512,21.6532095498925,43.5418799471132,31.744842886064,4.9710985076333,38.6842542170134,19.321813317909,12.3004999986493,49.3201339326375,12.7160796545449,45.4979499673544,63.8121468562925,169.000456477795,15.0870258208479,52.9670852025114,8.24396237462472,67.5787331934568,8.56985063226593,34.6640435533587,45.4186514317354,15.2411274864989,12.1919692160845,46.5063823361123,91.9809235078212,30.3776176106912,31.1765585536895,39.737807822992,55.3430183090158,44.8118007632888,49.8269428040417,40.3451238515484,8.52377989130102,22.4780616958951,26.857557599241,88.3864980757065,16.7851638614949,33.3714495540545,1.57116183055586,15.4137105201683,25.5991710804409,50.4191359795168,12.0219954333331,40.1939977114306,27.8721706935875
2023,23.6195363708424,40.8567793904075,21.1934539892603,32.2751013777669,28.8622955091639,5.26338520550318,38.3639967741243,16.6141431983781,14.4408262093734,43.5044116555991,12.955861475022,44.2459902044245,56.8959278033859,169.105788685534,19.1021039290635,36.6023261927194,6.59300267773163,63.728334784929,9.60449609672499,34.0367592151643,41.5653232624964,13.8832772888755,11.6861054407608,42.9229805805595,85.1137376753101,26.8675598855334,29.4050554839946,38.2879909023547,52.4706712906744,42.752081172208,45.2791164196367,43.4122407828397,8.82572044697118,25.4207037684665,22.9926823067602,85.9480892526302,21.5245154992414,32.7545268670556,1.10810859289855,17.1954298762963,23.9052239704764,51.8833824346749,11.6017089255499,40.8461239686718,21.5794003755333
