GDP,Inflation,Exports,Imports,Job,FDI,Stability,Urbanisation,Technology,Energy,Agriculture,Population,Cluster
247.626161016414,9.32217375928322,58.4881511649929,49.6821722775965,0.2935620334008033,9.32217375928322,0.2816707903380113,0.0234,71.2432,0.0015375,0.13086784145579,1.49897601193923,1
84.8246544817249,13.6441017767715,34.6566219502738,22.2112587709641,0.4167389707064829,13.6441017767715,0.3663617016464817,0.0406,38.5501,0.5853375,0.1490215241838325,3.08065530722915,2
19.676049075701098,2.73102465280233,4.17003440776298,5.93370828847894,0.3647389695184634,2.73102465280233,0.3644611626757649,0.0387,32.25105,0.4630124999999999,0.2540202588177655,2.52274772277722,2
19.3960844980084,5.0676154934383,6.260105935049539,7.095497209446861,0.4370364367376758,5.0676154934383,0.850467369825905,0.02565,76.283,0.2665875,0.01581261323708862,1.64031664035479,3
20.3246178445265,0.742910428668841,5.866151263395509,7.308737781269181,0.374910274468057,0.742910428668841,0.02091378792446308,0.0464,19.01885,0.678775,0.1633445504977175,2.26973666268599,2
2.64216166885211,26.9414835762453,0.139067146383838,0.642834305392671,0.4305804835110249,26.9414835762453,0.1205176522364754,0.05185000000000001,10.7298,0.833175,0.2521939213535903,2.72764441044431,2
49.27941098282599,7.38281384280984,8.18735190800398,10.1533253183166,0.4190503000297434,7.38281384280984,0.08069133792158423,0.03625,43.20425,0.7888375000000001,0.1729494101982509,2.64245336134821,2
2.5554920852483103,2.97913852618937,0.3690341708249989,0.742108359470422,0.3587730893884642,2.97913852618937,0.01379359979167694,0.03240000000000001,26.64946982,0.905575,0.2861105552396926,1.06107453184959,2
13.1493253623347,10.8363568399842,5.72053663556417,6.32123173979579,0.3213719360316835,10.8363568399842,0.05944342888608872,0.04279999999999999,11.5948,0.7369249999999999,0.2512523114552617,4.57399213394625,2
1.35238097124055,-4.29487331536736,0.175212605248483,0.473137200222606,0.2767304768299609,-4.29487331536736,0.4104775300439866,0.0268,28.466859095,0.4136,0.371852737709758,1.92327433672711,2
4.09853051355777,1.49506816515088,6.930852349469109,7.11490835129219,0.2263822006966514,1.49506816515088,0.3026824548643253,0.0159,64.5368,0.311825,0.01760045789906139,1.38410272350128,3
12.337550583754,4.78671704710803,4.51583050885739,3.0647654288727697,0.3491815372691063,4.78671704710803,0.4069602657399608,0.0303,63.689,0.06235,0.03093410455403842,2.41057232825781,3
163.697927593982,30.2188278135278,10.7926087496624,22.905283373308897,0.4868029787035514,30.2188278135278,0.02444396391577763,0.0475,18.0381,0.8951249999999998,0.3578979912197559,2.6036241976442,2
19.3884025416698,3.62901534185376,12.355906081205,5.38034606044894,0.3103804789863445,3.62901534185376,0.3686136769900202,0.02415,73.41825,0.8999250000000001,0.06525969125465347,2.19891289669511,3
76.37039672215401,38.1069656296501,25.9940080439853,26.7295092250668,0.4392103046077364,38.1069656296501,0.4913752590491399,0.03065,69.22025,0.4113125,0.211026509845537,1.90860289687983,3
22.1994097412578,7.80497591927973,9.227256421319929,10.8726327333228,0.3099434881254812,7.80497591927973,0.1900057382894292,0.0348,32.617,0.6559,0.2909129870721234,2.46199049961035,2
2.04834810835852,9.39383877456591,0.284377847724849,0.576621237705969,0.3399511177756963,9.39383877456591,0.3715823942200477,0.03125,30.05335,0.8725,0.3073927173862303,2.24529187264064,2
108.038588970595,7.67139634029402,12.6255034238139,22.046326203185902,0.4611522726565927,7.67139634029402,0.1741808181817782,0.03695,39.52979999999999,0.72095,0.218099563923185,1.98296028478422,2
