Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,54.7903985703282,9.12959497015301,3.5199914404791297,5.78832960915755,2.96837008759759,0.870486065883137,0.539227277626411,10.5665792949831,0.9167772826916589,1.3885067715875599,0.351136579648632,19.0880463057971,3.2279276975792097,0.551230861856505,99.8385439600763,1.04599849643872,1.73809384036607,8.2423496178638,5.08048362853013,0.78291387180966,4.98285066220851,4.36745886671537,0.39134559748826897,12.7053500978044,0.887291687920796,0.874,38.2709541381128,4.62924720384524,2.53730758032808,2.96148495386444,1.77952088647015,4.72610862247661,43.0174554018445,5.930685214615949,3.9222321648317497,2.24175319281158,69.17145162724651,2.06883675437431,0.07619839482026709,6.01318500397525,0.6542123942716399,0.635866403776065,151.752757215309,12.2572991472936,13.3717670817428,2.10684875227753,21.473528160778198,6.19324683709687,3.60063211141414,6.6899576
2001,59.413400923636395,8.93607911773136,3.66622263513875,5.489608299664449,3.19037108094768,0.876794723068586,0.563090490377368,10.953485349113501,0.932648604751954,1.71084337700119,0.378512024077556,7.4381891003333305,2.7967046040381196,0.5724174408201621,96.6846361185984,1.4611390220295402,1.54247730889408,8.23132601647494,5.023265413262299,0.687410645063943,5.3148728544405,4.12552760322908,0.412610871509121,12.9860074258781,0.8257069612386889,0.906,34.112093927254,5.43833260190798,2.4980086646690998,3.46833794232063,1.74606355761355,4.67575586717657,43.831480207644404,5.65015406710346,3.55734121515159,2.4487147039661696,73.557840064489,1.96660071549841,0.0759511333777948,6.50782482926254,0.662064155920692,1.6814737523847,135.429905922526,15.7163617921926,13.5639900223641,2.09349867449678,22.065832448862302,5.84050386851573,4.09444130121423,6.7773847
2002,61.5161034061688,15.285592370374001,4.1943426862178,5.43886398288692,3.6223500629605296,0.825394519423728,0.620507387466174,12.417251350488199,0.996068144884889,1.99700570881576,0.42596468104437796,8.728038525140342,3.03425092397726,0.591122039601398,85.1460674157303,1.80674274227311,1.43222173912342,7.850809498168029,5.3354510998822295,0.578235309327198,6.16619784785031,4.3016087525139595,0.46677371123557904,13.1477368985176,0.7757772385581401,0.927,20.4818897637795,5.351701663408069,5.0873284378737,3.9081213070195697,1.77705748126043,4.9064942493825505,47.0771921876418,5.95076942660213,3.3491698263889598,2.78219287867204,95.0540593026995,1.96600346849117,0.0851710738777498,7.0064023197585605,0.74213483750919,1.933864034188,129.087556612449,18.1371283883606,14.129651895691099,2.4101990324310196,23.1416166045242,6.17856359112051,4.19385044542632,6.3421164
2003,73.4822641909245,17.8127045864397,5.349258094482391,7.51158217337724,4.74076814267494,0.784654423620476,0.813260468873834,15.9703150349903,1.14231552253864,2.7428150715744,0.5468852227130651,8.93756705987754,3.50372308774483,0.622044665515049,80.2884615384615,2.4847459350932897,2.19759846625447,8.623691300040791,6.51190336547554,0.48703868504549597,7.632723555662211,5.02516797526363,0.553614800145707,14.904517649847602,1.1578254347897101,0.748,26.265625,6.37249888966585,4.66978930035662,4.71407197968835,2.05114760673687,5.89487391974797,58.0293633542757,6.58352686058062,4.92643938351425,3.39408473249543,104.738954264226,2.13823727873822,0.102085769123419,8.76872156318211,0.7508472300992629,2.14261834981099,197.01896530869698,21.355298459595502,15.2114877087684,2.98798405099318,27.453902261462897,6.60688427523087,4.901869764059571,5.7275918
2004,91.91368098517081,23.552057679499402,6.19027038049856,8.9574677065354,5.45168853760959,0.9152573233961,0.924940011836897,18.826214135641898,1.27236051732373,4.42285566082592,0.633706110795614,10.297483481222999,4.65697494012721,0.6660721017775051,78.78246753246749,4.41076433866733,2.77008279150412,10.1311872614421,7.77021900821293,0.961900651423441,8.881417906714319,5.300767960515721,0.582169841298304,16.095337093836598,1.51123665552047,0.897,33.1223076923077,5.06473262629389,5.058726350488961,5.45424912572966,2.3625010232424897,6.667418752073069,66.11414545100669,7.93725556535765,6.609205994774061,3.7604437375379702,135.764731645611,2.37649606701198,0.114582283916382,10.0768166666196,0.893012218181818,2.23735096327352,255.806908594573,26.6460072507319,16.6730624733981,3.1915615086908797,31.1838852414396,7.93948754777384,6.2211102194554195,5.8055984
2005,107.046618669707,36.9709008838109,6.56765495438903,9.918907108097018,6.14635317334929,1.11711307973645,0.9722416769076621,19.509852206934102,1.33789437873743,6.64930752364377,0.653845169168576,11.964484465938801,6.65000168048544,0.7086331947265659,89.6006655574043,8.21736909265224,3.17811249867911,12.401139453973801,9.58278399085345,1.02770106755688,10.7445683814456,4.28246863690501,0.639776040688424,18.7378955127378,1.6823435274922098,0.949,47.3346912414924,5.85926975261332,5.32040965147544,6.2475158881453305,2.93601952560241,6.576108447475311,68.8526580686673,8.86850489994673,7.24837483772056,4.38331596458718,175.67056996934602,2.9338197661765597,0.136450662390592,11.009033437939,0.977899381818182,2.54527531260512,288.867217196534,35.182711987974,18.3953836474975,3.2219104084651597,32.2721866948043,9.23922176305793,8.33187016914977,5.7552152
2006,123.08425869301,52.381025141426804,7.034111314888119,9.91915848241085,6.54741982038113,1.2733750784484401,1.1075714579061402,20.910512974933,1.46185976233459,7.42870145391509,0.698431793872776,14.4519016963878,8.07230502906514,0.768873684032838,107.426086956522,10.086528698860398,3.2913300191728703,15.2808618346024,10.327598306457501,1.0541124877408299,20.8850375966963,4.22001984526658,0.634781901251494,25.8255122842891,1.8000925637546201,1.119,60.094231606642,6.39571249094304,5.818279739143541,6.90593421790901,3.91957728592703,7.0288106808907695,75.8838233008545,9.509835536933728,8.00177955106323,4.75636125237923,238.45499716148,3.31978453873346,0.142775104081626,11.6979182430035,1.08144128331798,2.9129861180745302,303.858675363643,45.263831634149696,18.619859795285198,3.32090772174508,34.3766646005898,9.97764768296954,12.7568588992812,5.4438965
2007,142.482739809849,65.2664154942584,8.16904838283875,10.567270655502702,7.62572283676847,1.35619938742308,1.6496217386368899,23.9282504330378,1.69981129494935,8.65013774332547,0.795673152867077,16.73707181638,8.78270343670188,0.8479189291079839,130.437828371278,13.071718758737301,3.46938123149049,19.7076167727996,12.4554095873371,1.2797030470221,24.8273391384906,6.28191822634063,0.753162998015113,31.9581951822406,1.6821317845136499,1.373,68.0329783906007,8.52462088957747,6.45121021911683,8.15646882612645,4.34621235502975,8.15015020922501,86.947913286728,10.8114560059405,8.83953647599963,5.73148505179069,278.260846800103,4.07050789461656,0.14914691888861098,13.994218412961901,1.07730881382945,3.32685343559832,333.07711725368404,59.4401397748128,21.8604348234808,3.7599649433807802,38.915353866757,11.9025644948833,14.0569579762648,5.2919501
2008,180.383848331135,88.5386650848634,9.787734526239651,10.730829116410499,9.45143549011467,1.6118358570458802,1.9596206483157799,27.715142032912997,1.99340788849838,10.3938337653651,0.9156591079658231,19.788515590128398,11.6498576734436,0.999105339267729,162.818181818182,19.7498935363204,3.29408431415058,27.066912635222803,15.5713483443379,1.56176695573024,28.679383241072898,6.96417998318155,0.952667544037289,35.8951533278497,1.76690270919935,1.726,86.7107674151371,10.7251377236549,7.74361735221427,9.838403100505541,5.206437193804129,9.99035667373497,101.822906949063,12.9203409646544,8.60743149749471,7.297600226005359,339.476276257793,5.179854064570329,0.18802116500338,16.853989627548,0.9795973942934529,3.83560377861591,316.131258616309,64.8330832571431,27.9478213979272,4.57884965799813,44.8594399022191,14.4404041322047,17.910858637904802,4.4157028
2009,150.31729207935902,70.3071961816539,9.738626517003189,10.1184592423183,9.45069687334326,1.78145513985931,1.85233457517521,27.932970317129,2.06738166525454,9.290728318988211,0.90534117270583,18.6483725530921,9.72329991525312,1.04911068472493,189.147005444646,15.027795173218701,3.58042805281393,32.437389116038,12.1136990682517,1.45014250857808,26.0487200055233,6.71690533973244,0.890167833369849,42.3472179129176,1.74089496480511,1.768,60.8085620334191,9.616879409437889,9.00988794682039,10.231962390211901,4.714595547751021,9.12884310915588,101.154952240881,12.2638947900125,8.93884718907592,7.35213130973341,295.008835380997,5.67447696906444,0.20066806503175,16.1458674949405,0.850901620433301,3.7841659061037003,329.75406064712905,51.621044076923106,29.400573553607497,4.72189090022635,43.455740497306095,25.127805566658402,15.3283423039575,9.6657933
2010,177.785053939531,83.7994740697315,9.535345011487971,12.6372734291339,10.1096197406994,2.03213519201248,1.82475146792957,27.5075018210296,2.14259154040068,10.6681035541192,0.907978730887844,21.5657210448462,13.1483962115955,1.1286117003618,218.983666061706,16.3144434362903,4.43876508593784,29.9337903343418,14.3725930202885,1.5432949268730098,32.1976555665347,6.853467145530891,0.9401125389364361,45.4056150637551,2.23475424191918,1.998,75.38082506242161,9.98271133807029,10.1283230106049,10.689168016261299,5.62887879798257,10.0036706903497,100.86532947344,11.411894723864,11.431412421131599,7.8511925023091695,366.99041712904,6.12475665412346,0.190021192489536,16.1213159090758,0.981616542328454,4.03312283014424,417.363822801713,58.9629780344828,32.012892919369996,4.7463895316959,46.206091937962796,26.6734414307857,20.2655594838548,12.0416552
2011,218.33194692530398,111.78974767059,10.693321370036,15.110643612172899,12.0802959775632,2.2358208093200598,2.04681798720109,30.630910495216998,2.4379827051209304,12.1723088510395,1.02308627353336,25.8397491993671,15.6553835766515,1.23914450177525,235.989672977625,21.357343668944697,4.82047868018375,31.952763089330002,18.210307743581602,1.40969359693594,39.336668080559,6.78513720333153,1.1570743191938802,46.86947315061,2.57940961996722,2.398,48.1692632941007,11.551819617874001,11.648142958365101,12.9951126902596,6.7646277459033,11.5184134299684,110.080631332375,14.619279988716,12.5233594405499,8.77295077779176,414.46667683116,6.884913658106321,0.226455001243083,17.814283639311903,1.05891870726124,4.58707891313315,458.199494830834,55.0185672105263,34.657140096483595,5.42244216644146,48.1233258250739,27.8717252414723,23.459515275577598,14.1019203
2012,227.143746075934,128.052915766343,11.1413581059853,13.9074645001489,12.5610151565683,2.33334133445753,1.91308121041411,30.1550623292821,2.51012651222831,12.367362757134199,1.01584349082374,29.3062352852597,17.692911296304402,1.3536329415207,279.116666666667,22.388344143913102,4.88655148393374,43.3107214140829,17.1704640160593,1.41500473826621,41.271701060954,7.63804455684656,1.04941217711413,56.396704671577695,2.47770221626888,2.791614,92.5409381291315,11.5789750619479,8.773203178165119,12.442035339104901,6.728208836221429,11.6686963967887,106.937392311129,16.6881141440745,13.042053591685699,9.42691264759111,463.971018239281,7.6547615735499095,0.229371348202606,17.660870411523497,1.0894078391970898,5.92768421915278,434.40054508581096,37.632919966666705,39.6503943629287,5.41354465841535,47.3114018126733,27.3059159107877,25.503060420026,17.1148499
2013,229.701430292157,132.339109040232,12.5178451276775,14.271738933204201,13.4443004858412,2.45160663229246,2.02891091516446,33.7286211803231,1.69154411018543,12.953534866428601,1.11622410683728,32.6797450484427,17.9587206990868,2.04281716285639,288.434108527132,21.948834283785597,4.41833319247449,47.6482766050123,17.5957447983398,1.3756094534374599,62.8246290660408,8.37661353928278,1.10968282413594,61.6714404078387,2.367112931642,3.1771981,75.3511070290605,12.4235554553853,8.03157192762055,13.2426907860938,7.22307109708417,12.2929741414044,115.73928730508,17.1980730571981,12.043307277123501,10.224897437864799,520.117180313906,7.81996371575353,0.267041747584354,18.918667724881697,1.33316040738516,7.69709811819922,400.886013595573,43.0240180821918,45.648857242315,6.02173297726584,48.685446413953,28.9157865166123,28.0372394627142,19.09102
2014,238.94266419259,135.966802586713,13.284527850263201,15.470088500741399,13.9430160767436,2.70578332980483,2.04193012542979,36.3865447060806,1.89481338940325,13.9407672185849,1.1495876610069302,35.9090409259375,17.9193210780284,2.21467908125658,305.595408895265,21.765453081982603,4.25054546094523,55.6122282335179,18.2039668958433,1.22946172140861,54.7833198173705,8.778473372821239,1.1352507210374,68.2857965142896,2.44106305405792,3.225652,57.372355592022004,12.5229573992281,8.80132616914547,14.3649371240727,6.59253778181518,13.0741299520532,119.13084141166401,17.9782465860662,12.4354309696301,10.8629435435419,574.183763411508,8.23896606386692,0.293119143246825,19.797253440267898,1.38757787008161,7.8454562152780705,381.198869776106,49.5167486179775,49.986726460680494,6.39331826182712,50.271812920612,32.6123972574458,27.1410235580829,19.4955196
2015,187.493855609345,90.4964205065957,11.3881609971089,13.530748844504998,11.8321593156298,3.1040035462649698,1.74985762035329,32.210233020456904,1.6958257141928201,10.9503922569543,0.966029600862227,37.917706497179296,12.4347938673568,2.4243917854389703,329.366576819407,13.1854968810174,3.8781744035524,64.5893285505953,14.3831077626952,1.37817660893204,49.4060100542663,8.79420174284609,1.1523841667963801,70.1204468968359,2.35968672453829,3.2270757,48.7175013213052,11.3230207013017,9.21947437931534,13.104764378326001,6.16686389668677,12.007291045648898,110.41382384159199,16.208985769615,11.3351610835061,9.68386792644282,493.02668280063,8.54375967758157,0.259999643047388,17.7747666961759,1.4324033521294401,6.6516267336485395,346.70979045856296,51.7267586767677,47.413919817124004,5.755461035380261,45.779494041929496,32.3871837301002,21.2512167987762,19.9631206
