Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Djibouti,"Egypt, Arab Rep.",Equatorial Guinea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,0.0137,0.87862,-0.0127948436146594,0.057171341354861994,0.00016714,,0.034202238381614604,0.15970800620138698,,,-0.0018,-0.09814167434636059,0.00328604948205333,1.235,,0.0906580061898746,,0.278061231967685,,0.1659,0.009942,,0.110904550399762,0.032403928087932604,0.77989656,0.141,0.0829525807054987,0.025999996361222598,0.0603316231100395,,0.265641239441185,0.426553283860634,,0.19635076326258702,0.0157672123689839,1.14016755601589,,0.0038,0.0816436901235187,0.0243269968409907,0.0390008245205234,0.968831355959091,0.3922,0.4634008587823,0.052818330986365805,0.7507204435743751,0.1607,0.1217,0.0075
2001,0.0093,2.14547,0.0167395393415644,0.030680571208468198,0.00059751,-1.14409127038289e-05,0.00901018620568656,-0.0116683873783906,,,0.0009,-0.135479673015224,0.00339295862616123,0.5099,,0.0293300843469719,,-0.100615451014713,,0.08932,0.001677,0.000395613596288615,0.00530262293940566,0.0296952458764432,-0.29202806,-0.133,0.093059224,0.0192999910892369,0.208998473655231,,-0.0276755657136838,2.82455725152006,,0.379336366387132,0.022587455083808,1.19061864359162,,0.003,0.045083429813955,0.0647402565069248,0.009835742022375719,7.2703449864768,0.574,0.54927035146,0.0726176508875252,0.45151480924785203,0.15149615065192698,0.145,0.0041
2002,0.09857,1.743504,-0.0193956226954978,0.40799739245524,0.00171595,,0.014759046676955202,0.505256043293607,1.29e-06,,0.02199066,0.200095651485644,0.0034323462055694,0.6469,,0.0929453131719951,,0.0011607083101376901,,0.05893,0.00049127,0.0035452536889372397,0.027618447058206,0.028391254961737,0.40293715,0.145,0.0146617980720596,0.005899999358862419,-0.012371106203847,0.000365,0.0320731160847955,0.480355698049863,-0.0004,0.14753575847197198,0.007827441935083789,1.8740707531401402,,0.0036,0.0826926715664976,0.0477177480672259,0.0104134094634409,1.47980458875227,0.71318,0.395567134,0.057806307373627096,0.790302916627593,0.1846480591975,0.29839,0.0032
2003,0.02832063,3.57697178,0.0106380882576387,0.418040676139807,0.00191844,,0.039216510812763304,0.33488853586020795,,0.000793243734562134,0.02343156,0.220038914195923,0.014224542963408901,0.2374,,-0.0601906804797119,,0.0996661540233406,0.018272720342347,0.136751,0.078966,0.00400550368688217,0.0817382426366212,0.043948139983982504,0.17297912,0.143,0.012874087,0.0658856300222282,0.0725179973250875,-0.001,0.062630665276514,2.31282982325089,,0.0651108871077804,0.0185291389736301,2.00535356306397,,0.0034,0.08649978036819521,0.0584255407263851,0.00861504966773898,0.78313609225814,1.34919,0.31840129868,0.045773612370036,0.5394819390097999,0.2021925936185,0.347,0.0002
2004,0.24544981,2.19722782,-0.0407746050603662,0.39088925185527096,-0.00894782,4.46907076028704e-05,0.06763827380338991,0.0679848556422292,,0.000672560378635006,0.00756553,0.0885579972244039,0.0385435598494269,1.2533,,0.0695820118372508,,0.31397079203963796,0.055526319440783095,0.13927,,0.00191563335188715,0.0460639314543862,0.0556714309384429,0.0753517316495429,0.357,0.0529107480000001,0.10781137401292001,0.0849929215331431,0.004008,0.0138947364049871,0.893325392835825,,0.223561311215728,0.0244112869008512,1.87406088697608,,0.003501,0.137583476929811,0.0380148521,0.0611533141933297,0.701422007629779,1.51107,0.44253954835000003,0.079967681861951,0.59214752167862,0.295416479800692,0.36404,1e-06
2005,1.15599999999995,-1.30383693,-0.008788860126774769,0.420854175013436,0.0521300408814284,0.000584701692574561,0.08051354133220831,0.243601636500456,,0.000558865800033729,0.18,0.801314933871917,0.0222033411920932,5.3756,,-0.045850344677386,0.265111675482385,0.326161877897877,0.053650280019084104,0.14497,0.105,0.008692468089756841,0.021211685395222998,0.0274382796374855,0.082802111438061,1.038,0.08542862390219329,0.13969640263469,0.160281952808321,0.002023,0.041776995778691095,1.67060968892878,0.12241375557999999,0.38985079039106296,0.049753596829022494,4.98253393021739,,0.015664,0.167944230519191,0.0807297390909091,0.09073166973771479,6.522098178180509,1.56168999689435,0.93552059171,0.0960035982087157,0.712714847262546,0.379808340667061,0.35694,0.0011
2006,1.8410000000000801,-0.03771486,-0.0123634823642044,0.486913109102448,0.0838492560712148,3.15937781888499e-05,0.131539968034584,0.059122291342805805,,0.00077842021387879,0.2561,1.48901578125323,0.108287709387185,10.0428,,0.121031132733167,0.5452571021783039,0.00137993,0.082208102587765,0.63601,0.125,0.017887123562082802,0.050674725183069494,0.0243222866909769,0.107856671533941,2.064,0.294681941542683,0.0355618039812517,0.148327333705249,5.7e-05,0.106758059108919,2.46078716418439,0.25114165025,0.610197796107759,0.0403100441411645,4.85435397909081,,0.03801583945735,0.28984030029228003,0.140555693466973,0.0588691439072179,0.6232917443435201,1.8418338140836699,0.40303899136,0.0913967418990609,3.23990909261659,0.644262499946512,0.61579,1e-05
2007,1.68673653970385,-0.893342152,0.13918994301545598,0.494634226153715,0.0217118009008661,0.0005002450930590709,0.19176435916333898,0.189581294625153,,0.00769194728915694,1.808,1.42425193563471,0.195351140270424,11.5781,,0.0374938462379167,0.222000572994807,0.654808577188853,0.0780948209585794,1.3831779298545799,0.3859,0.01877011749192,0.72904414604372,0.0756188422948835,0.131637661595465,4.689,0.7893897240844969,0.124388649054177,0.206337322649109,-0.001277,0.340763853718088,2.82580137644064,0.41668934842080996,0.6691829033576661,0.09907367193216621,6.0360214048206995,0.012946,0.03602852782392,0.35145873244261905,0.175923646509835,0.0954701713159828,6.5867922531097,1.50437983838584,0.58151180698,0.062406802627874396,1.51534504399628,0.792305780891244,1.3239,0.0031
2008,2.63860703375183,1.67897101,0.0482107578531253,0.520917902314755,0.0331905798762819,0.00383320834759484,0.210903689269434,0.020995513744612802,,0.00465057415690676,1.7268,1.9479729132063899,0.227654582182184,9.4946,,0.10572937465700599,0.108537543965443,0.693511288988999,0.0707923823207138,2.71491634369978,0.38188,0.0066300740277576205,0.095585680233444,0.0110099730619522,0.283536077408015,4.1113,1.1344976424209001,0.195425887191773,0.26751118591091,0.002985,0.37772473806254,2.46628835737234,0.641399415784251,0.750426324202911,0.283076206886465,8.19407189546245,,0.0791433887554088,0.455739867976293,0.179825444152505,0.053095068067431195,9.885001293443581,1.6531203154749998,1.38326,0.050892371953782795,2.60067497649755,0.728860900652408,0.93862,0.008
2009,2.74693073416534,2.20529818,-0.0188074073780513,0.208699298206301,0.0566539923324814,0.00034840453456982804,0.126003552248347,0.746276648961818,,0.013839598167791501,-0.2432,1.1890512863797,0.09685968456175689,6.7116,,0.065705859515037,0.22145958136198401,0.635674956848352,0.0394473437084005,2.37254,0.09103,0.0188902,0.116257608986359,0.0913483571137565,0.127803424522852,1.371,1.29333014226094,0.049130371225841594,0.649211715168639,,0.256680711820915,1.97032392001346,0.9301004077799999,0.829054473358439,0.633819197134754,8.55599000671682,,0.0155,0.331473910250358,0.168251661935522,0.11043020251769599,7.62448997388189,1.72629840295145,0.95263,0.0463044961277116,1.52524485752902,0.8415708027476401,0.6948,0.105
